id;category_cd;category_desc;creation_date;last_modified_date;actif
1;Table;projection Versatile;2020-05-25T07:18:08;2020-05-24T12:49:14;false
2;bypassing SCSI applications;e-commerce;2020-05-25T11:06:19;2020-05-25T08:39:21;true
3;transmitting XML orchestrate;Nevada enterprise Belarussian Ruble;2020-05-25T11:15:56;2020-05-25T07:12:16;true
4;Soap Chad Regional;architectures red;2020-05-25T07:28:10;2020-05-24T23:06:45;false
5;Program Identity;fresh-thinking Designer;2020-05-25T05:47:20;2020-05-24T18:42:25;false
6;Chicken violet;Home Loan Account deposit;2020-05-25T08:49:26;2020-05-24T15:18:26;true
7;pink Investor;compress;2020-05-25T04:32:40;2020-05-25T09:33:25;false
8;Future Specialist bypass;California;2020-05-24T19:50:53;2020-05-24T23:04:48;true
9;throughput Home Loan Account revolutionize;District withdrawal;2020-05-25T05:31:30;2020-05-25T01:50:08;true
10;Liechtenstein;invoice;2020-05-24T23:29:47;2020-05-24T22:36:13;true
