id;code;libelle;description;text_code;creation_date;last_modified_date;actif;gitlab_external_code
1;Lodge Bedfordshire;Handcrafted;lavender matrix lime;quantify panel;2020-05-24T19:02:35;2020-05-24T23:20:30;true;30696
2;copying Shoes Investment Account;website Director;override;Burgs CFA Franc BCEAO;2020-05-25T10:36:02;2020-05-25T03:04:53;false;5922
3;program Gibraltar Technician;Savings Account payment;4th generation invoice optimizing;Home Loan Account sky blue interfaces;2020-05-25T06:41:55;2020-05-25T00:14:08;false;10686
4;Streets;Pound Sterling;schemas Personal Loan Account;Sausages seamless workforce;2020-05-24T17:23:40;2020-05-25T00:51:52;false;30918
5;Missouri;Pizza;AGP bandwidth infrastructure;Checking Account Investor;2020-05-25T05:38:52;2020-05-24T13:40:21;true;90549
6;Maine Myanmar methodologies;Point Tokelau;Planner systemic Point;Minnesota compressing Movies;2020-05-25T05:12:15;2020-05-25T04:38:31;true;10290
7;SQL mobile asymmetric;Product Product parse;schemas;Chicken;2020-05-24T16:11:06;2020-05-25T11:18:47;true;36399
8;deliver Factors Unbranded Frozen Pants;Buckinghamshire maximize;Prairie Rand Loti circuit;deposit compress input;2020-05-24T20:29:22;2020-05-25T09:09:28;false;25906
9;Louisiana Cambridgeshire Dynamic;Tala orange Product;Officer Cotton Nebraska;Table utilize;2020-05-25T05:00:28;2020-05-24T16:44:13;false;39458
10;Avon world-class;Walk Producer;Netherlands Antilles;fuchsia;2020-05-25T02:34:36;2020-05-25T10:45:53;false;92452
